,weighted average precision,average time
resnet50,0.599479527115729,0.27913618993759154
resnet50 tl ,0.33027200210148416,0.2737408411502838
resnet152V2,0.5734880351966888,0.38002205348014834
xception,0.597263020443714,0.31384097146987916
xception tl,0.5151578707494016,0.2884727783203125
inception ,0.4562538960363645,0.2790551402568817
VGG Inception,0.5249140183397178,0.2876532199382782
VGG v1,0.4978514525761788,0.29324258375167844
VGG v2,0.5429461955085444,0.23745161056518554
